,data,label
35,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.44.58_noise.wav,down
36,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.01.wav,down
37,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.06.wav,down
38,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.10.wav,down
39,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.10_noise.wav,down
40,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.15.wav,down
41,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.15_noise.wav,down
42,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.18_noise.wav,down
43,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.21.wav,down
44,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.21_noise.wav,down
45,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.24.wav,down
46,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.24_noise.wav,down
47,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.28_noise.wav,down
48,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.31.wav,down
49,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.31_noise.wav,down
50,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.34.wav,down
51,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.34_noise.wav,down
52,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333017.wav,down
53,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333017_noise.wav,down
54,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333018.wav,down
55,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333018_noise.wav,down
56,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333019_noise.wav,down
57,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333020.wav,down
58,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333021.wav,down
59,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333021_noise.wav,down
60,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333022.wav,down
61,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333022_noise.wav,down
62,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333023_noise.wav,down
63,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333024.wav,down
64,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333025.wav,down
65,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333025_noise.wav,down
66,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333026.wav,down
67,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333026_noise.wav,down
68,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-35_noise.wav,down
69,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-36_noise.wav,down
70,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-37.wav,down
71,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-37_noise.wav,down
72,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-38_noise.wav,down
73,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-39_noise.wav,down
74,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-40_noise.wav,down
75,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-41_noise.wav,down
76,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-42.wav,down
77,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-42_noise.wav,down
78,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-43.wav,down
79,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-44.wav,down
80,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-44_noise.wav,down
81,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d1.wav,down
82,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d10.wav,down
83,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d10_noise.wav,down
84,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d11.wav,down
85,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d11_noise.wav,down
86,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d12.wav,down
87,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d12_noise.wav,down
88,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d13.wav,down
89,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d13_noise.wav,down
90,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d14.wav,down
91,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d14_noise.wav,down
92,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d15_noise.wav,down
93,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d16.wav,down
94,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d16_noise.wav,down
95,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d17_noise.wav,down
96,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d18.wav,down
97,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d18_noise.wav,down
98,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d19.wav,down
99,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d1_noise.wav,down
100,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d2.wav,down
101,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d20.wav,down
102,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d20_noise.wav,down
103,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d21.wav,down
104,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d21_noise.wav,down
105,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d2_noise.wav,down
106,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d3.wav,down
107,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d4.wav,down
108,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d5_noise.wav,down
109,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d6.wav,down
110,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d8.wav,down
111,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d8_noise.wav,down
112,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd1.wav,down
113,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd10.wav,down
114,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd2.wav,down
115,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd4.wav,down
116,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd4_noise.wav,down
117,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd5.wav,down
118,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd5_noise.wav,down
119,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd6.wav,down
120,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd7_noise.wav,down
121,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd8.wav,down
122,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd9.wav,down
123,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd9_noise.wav,down
124,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/down2_noise.wav,down
125,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/down_noise.wav,down
126,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Hcj.wav,down
127,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Hcj_noise.wav,down
128,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-100.wav,down
129,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-100_noise.wav,down
130,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-101_noise.wav,down
131,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-102.wav,down
132,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-102_noise.wav,down
133,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-104.wav,down
134,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-104_noise.wav,down
135,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-106.wav,down
136,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-106_noise.wav,down
137,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-108.wav,down
138,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-108_noise.wav,down
139,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-109.wav,down
140,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-109_noise.wav,down
141,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-110.wav,down
142,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-110_noise.wav,down
143,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-111.wav,down
144,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-112_noise.wav,down
145,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-113.wav,down
146,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-113_noise.wav,down
147,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-114_noise.wav,down
148,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-115.wav,down
149,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-115_noise.wav,down
150,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-116_noise.wav,down
151,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-117_noise.wav,down
152,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-118.wav,down
153,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-119.wav,down
154,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-119_noise.wav,down
155,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-120_noise.wav,down
156,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-121.wav,down
157,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-57.wav,down
158,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-58.wav,down
159,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-58_noise.wav,down
160,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-60.wav,down
161,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-60_noise.wav,down
162,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-62.wav,down
163,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-62_noise.wav,down
164,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-64_noise.wav,down
165,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-65.wav,down
166,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-65_noise.wav,down
167,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-67.wav,down
168,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-67_noise.wav,down
169,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-68.wav,down
170,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-68_noise.wav,down
171,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-69.wav,down
172,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-69_noise.wav,down
173,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-70_noise.wav,down
174,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-71_noise.wav,down
175,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-72_noise.wav,down
176,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-73.wav,down
177,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-74.wav,down
178,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-74_noise.wav,down
179,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-75.wav,down
180,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-76_noise.wav,down
181,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-77.wav,down
182,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-77_noise.wav,down
183,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-78.wav,down
184,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-79.wav,down
185,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-80.wav,down
186,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-80_noise.wav,down
187,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-81.wav,down
188,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-82_noise.wav,down
189,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-83_noise.wav,down
190,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-84.wav,down
191,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-84_noise.wav,down
192,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-85_noise.wav,down
193,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-87.wav,down
194,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-87_noise.wav,down
195,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-89_noise.wav,down
196,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-91.wav,down
197,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-91_noise.wav,down
198,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-92.wav,down
199,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-93.wav,down
200,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-94_noise.wav,down
201,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-96.wav,down
202,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-96_noise.wav,down
203,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-97.wav,down
204,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-98.wav,down
205,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-98_noise.wav,down
206,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-99.wav,down
207,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 048.wav,down
208,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 048_noise.wav,down
209,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 049.wav,down
210,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 050.wav,down
211,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 050_noise.wav,down
212,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 051.wav,down
213,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 051_noise.wav,down
214,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 052.wav,down
215,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 052_noise.wav,down
216,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 053.wav,down
217,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 053_noise.wav,down
218,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 054_noise.wav,down
219,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 055.wav,down
220,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 056.wav,down
221,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 057.wav,down
222,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 057_noise.wav,down
223,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 084.wav,down
224,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 084_noise.wav,down
225,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 085.wav,down
226,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 085_noise.wav,down
227,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 086.wav,down
228,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 086_noise.wav,down
229,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 087.wav,down
230,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 087_noise.wav,down
231,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 103.wav,down
232,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 104.wav,down
233,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 105.wav,down
234,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 105_noise.wav,down
235,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 106.wav,down
236,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 106_noise.wav,down
237,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 107.wav,down
238,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 107_noise.wav,down
239,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 123.wav,down
240,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 123_noise.wav,down
241,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 124.wav,down
242,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 125.wav,down
243,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 127.wav,down
244,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 127_noise.wav,down
245,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 142.wav,down
246,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 142_noise.wav,down
247,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 143.wav,down
248,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 143_noise.wav,down
249,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 144.wav,down
250,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 144_noise.wav,down
251,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 145_noise.wav,down
252,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 162.wav,down
253,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 162_noise.wav,down
254,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 163.wav,down
255,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 163_noise.wav,down
