,data,label,direction_down,direction_left,direction_right,direction_up
20,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.39_noise.wav,down,1,0,0,0
21,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.44.wav,down,1,0,0,0
22,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.52_noise.wav,down,1,0,0,0
23,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.55.wav,down,1,0,0,0
24,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.55_noise.wav,down,1,0,0,0
25,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.59_noise.wav,down,1,0,0,0
26,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.02.wav,down,1,0,0,0
27,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.02_noise.wav,down,1,0,0,0
28,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.06.wav,down,1,0,0,0
29,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.06_noise.wav,down,1,0,0,0
30,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.12.wav,down,1,0,0,0
31,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.12_noise.wav,down,1,0,0,0
32,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.44.48.wav,down,1,0,0,0
33,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.44.48_noise.wav,down,1,0,0,0
34,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.44.58.wav,down,1,0,0,0
35,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.44.58_noise.wav,down,1,0,0,0
36,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.01.wav,down,1,0,0,0
37,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.06.wav,down,1,0,0,0
38,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.10.wav,down,1,0,0,0
39,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.10_noise.wav,down,1,0,0,0
40,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.15.wav,down,1,0,0,0
41,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.15_noise.wav,down,1,0,0,0
42,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.18_noise.wav,down,1,0,0,0
43,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.21.wav,down,1,0,0,0
44,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.21_noise.wav,down,1,0,0,0
45,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.24.wav,down,1,0,0,0
46,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.24_noise.wav,down,1,0,0,0
47,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.28_noise.wav,down,1,0,0,0
48,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.31.wav,down,1,0,0,0
49,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.31_noise.wav,down,1,0,0,0
50,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.34.wav,down,1,0,0,0
51,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.45.34_noise.wav,down,1,0,0,0
52,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333017.wav,down,1,0,0,0
53,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333017_noise.wav,down,1,0,0,0
54,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333018.wav,down,1,0,0,0
55,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333018_noise.wav,down,1,0,0,0
56,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333019_noise.wav,down,1,0,0,0
57,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333020.wav,down,1,0,0,0
58,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333021.wav,down,1,0,0,0
59,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333021_noise.wav,down,1,0,0,0
60,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333022.wav,down,1,0,0,0
61,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333022_noise.wav,down,1,0,0,0
62,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333023_noise.wav,down,1,0,0,0
63,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333024.wav,down,1,0,0,0
64,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333025.wav,down,1,0,0,0
65,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333025_noise.wav,down,1,0,0,0
66,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333026.wav,down,1,0,0,0
67,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1_4943117662428333026_noise.wav,down,1,0,0,0
68,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-35_noise.wav,down,1,0,0,0
69,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-36_noise.wav,down,1,0,0,0
70,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-37.wav,down,1,0,0,0
71,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-37_noise.wav,down,1,0,0,0
72,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-38_noise.wav,down,1,0,0,0
73,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-39_noise.wav,down,1,0,0,0
74,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-40_noise.wav,down,1,0,0,0
75,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-41_noise.wav,down,1,0,0,0
76,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-42.wav,down,1,0,0,0
77,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-42_noise.wav,down,1,0,0,0
78,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-43.wav,down,1,0,0,0
79,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-44.wav,down,1,0,0,0
80,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/AnyConv.com__msg-1583385616-44_noise.wav,down,1,0,0,0
81,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d1.wav,down,1,0,0,0
82,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d10.wav,down,1,0,0,0
83,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d10_noise.wav,down,1,0,0,0
84,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d11.wav,down,1,0,0,0
85,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d11_noise.wav,down,1,0,0,0
86,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d12.wav,down,1,0,0,0
87,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d12_noise.wav,down,1,0,0,0
88,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d13.wav,down,1,0,0,0
89,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d13_noise.wav,down,1,0,0,0
90,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d14.wav,down,1,0,0,0
91,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d14_noise.wav,down,1,0,0,0
92,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d15_noise.wav,down,1,0,0,0
93,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d16.wav,down,1,0,0,0
94,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d16_noise.wav,down,1,0,0,0
95,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d17_noise.wav,down,1,0,0,0
96,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d18.wav,down,1,0,0,0
97,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d18_noise.wav,down,1,0,0,0
98,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d19.wav,down,1,0,0,0
99,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d1_noise.wav,down,1,0,0,0
100,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d2.wav,down,1,0,0,0
101,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d20.wav,down,1,0,0,0
102,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d20_noise.wav,down,1,0,0,0
103,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d21.wav,down,1,0,0,0
104,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d21_noise.wav,down,1,0,0,0
105,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d2_noise.wav,down,1,0,0,0
106,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d3.wav,down,1,0,0,0
107,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d4.wav,down,1,0,0,0
108,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d5_noise.wav,down,1,0,0,0
109,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d6.wav,down,1,0,0,0
110,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d8.wav,down,1,0,0,0
111,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/d8_noise.wav,down,1,0,0,0
112,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd1.wav,down,1,0,0,0
113,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd10.wav,down,1,0,0,0
114,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd2.wav,down,1,0,0,0
115,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd4.wav,down,1,0,0,0
116,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd4_noise.wav,down,1,0,0,0
117,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd5.wav,down,1,0,0,0
118,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd5_noise.wav,down,1,0,0,0
119,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd6.wav,down,1,0,0,0
120,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd7_noise.wav,down,1,0,0,0
121,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd8.wav,down,1,0,0,0
122,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd9.wav,down,1,0,0,0
123,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/dd9_noise.wav,down,1,0,0,0
124,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/down2_noise.wav,down,1,0,0,0
125,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/down_noise.wav,down,1,0,0,0
126,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Hcj.wav,down,1,0,0,0
127,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Hcj_noise.wav,down,1,0,0,0
128,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-100.wav,down,1,0,0,0
129,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-100_noise.wav,down,1,0,0,0
130,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-101_noise.wav,down,1,0,0,0
131,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-102.wav,down,1,0,0,0
132,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-102_noise.wav,down,1,0,0,0
133,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-104.wav,down,1,0,0,0
134,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-104_noise.wav,down,1,0,0,0
135,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-106.wav,down,1,0,0,0
136,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-106_noise.wav,down,1,0,0,0
137,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-108.wav,down,1,0,0,0
138,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-108_noise.wav,down,1,0,0,0
139,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-109.wav,down,1,0,0,0
140,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-109_noise.wav,down,1,0,0,0
141,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-110.wav,down,1,0,0,0
142,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-110_noise.wav,down,1,0,0,0
143,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-111.wav,down,1,0,0,0
144,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-112_noise.wav,down,1,0,0,0
145,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-113.wav,down,1,0,0,0
146,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-113_noise.wav,down,1,0,0,0
147,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-114_noise.wav,down,1,0,0,0
148,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-115.wav,down,1,0,0,0
149,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-115_noise.wav,down,1,0,0,0
150,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-116_noise.wav,down,1,0,0,0
151,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-117_noise.wav,down,1,0,0,0
152,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-118.wav,down,1,0,0,0
153,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-119.wav,down,1,0,0,0
154,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-119_noise.wav,down,1,0,0,0
155,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-120_noise.wav,down,1,0,0,0
156,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-121.wav,down,1,0,0,0
157,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-57.wav,down,1,0,0,0
158,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-58.wav,down,1,0,0,0
159,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-58_noise.wav,down,1,0,0,0
160,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-60.wav,down,1,0,0,0
161,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-60_noise.wav,down,1,0,0,0
162,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-62.wav,down,1,0,0,0
163,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-62_noise.wav,down,1,0,0,0
164,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-64_noise.wav,down,1,0,0,0
165,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-65.wav,down,1,0,0,0
166,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-65_noise.wav,down,1,0,0,0
167,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-67.wav,down,1,0,0,0
168,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-67_noise.wav,down,1,0,0,0
169,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-68.wav,down,1,0,0,0
170,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-68_noise.wav,down,1,0,0,0
171,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-69.wav,down,1,0,0,0
172,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-69_noise.wav,down,1,0,0,0
173,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-70_noise.wav,down,1,0,0,0
174,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-71_noise.wav,down,1,0,0,0
175,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-72_noise.wav,down,1,0,0,0
176,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-73.wav,down,1,0,0,0
177,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-74.wav,down,1,0,0,0
178,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-74_noise.wav,down,1,0,0,0
179,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-75.wav,down,1,0,0,0
180,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-76_noise.wav,down,1,0,0,0
181,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-77.wav,down,1,0,0,0
182,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-77_noise.wav,down,1,0,0,0
183,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-78.wav,down,1,0,0,0
184,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-79.wav,down,1,0,0,0
185,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-80.wav,down,1,0,0,0
186,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-80_noise.wav,down,1,0,0,0
187,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-81.wav,down,1,0,0,0
188,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-82_noise.wav,down,1,0,0,0
189,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-83_noise.wav,down,1,0,0,0
190,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-84.wav,down,1,0,0,0
191,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-84_noise.wav,down,1,0,0,0
192,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-85_noise.wav,down,1,0,0,0
193,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-87.wav,down,1,0,0,0
194,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-87_noise.wav,down,1,0,0,0
195,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-89_noise.wav,down,1,0,0,0
196,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-91.wav,down,1,0,0,0
197,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-91_noise.wav,down,1,0,0,0
198,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-92.wav,down,1,0,0,0
199,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-93.wav,down,1,0,0,0
200,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-94_noise.wav,down,1,0,0,0
201,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-96.wav,down,1,0,0,0
202,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-96_noise.wav,down,1,0,0,0
203,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-97.wav,down,1,0,0,0
204,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-98.wav,down,1,0,0,0
205,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-98_noise.wav,down,1,0,0,0
206,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/msg-1840141157-99.wav,down,1,0,0,0
207,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 048.wav,down,1,0,0,0
208,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 048_noise.wav,down,1,0,0,0
209,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 049.wav,down,1,0,0,0
210,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 050.wav,down,1,0,0,0
211,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 050_noise.wav,down,1,0,0,0
212,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 051.wav,down,1,0,0,0
213,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 051_noise.wav,down,1,0,0,0
214,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 052.wav,down,1,0,0,0
215,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 052_noise.wav,down,1,0,0,0
216,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 053.wav,down,1,0,0,0
217,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 053_noise.wav,down,1,0,0,0
218,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 054_noise.wav,down,1,0,0,0
219,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 055.wav,down,1,0,0,0
220,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/Voice 056.wav,down,1,0,0,0
